Expression	Value	Location	Type	
ADXL_DUR	0x70	0x200018B9	unsigned char	
[126]	1286	0x20000B6C	unsigned short	
[127]	1306	0x20000B6E	unsigned short	

[128]	1230	0x20000B70	unsigned short	
[129]	1222	0x20000B72	unsigned short	
[130]	1235	0x20000B74	unsigned short	
[131]	1244	0x20000B76	unsigned short	

[132]	1254	0x20000B78	unsigned short	
[133]	1259	0x20000B7A	unsigned short	
[134]	1263	0x20000B7C	unsigned short	
[135]	1247	0x20000B7E	unsigned short	

[136]	1302	0x20000B80	unsigned short	
[137]	1309	0x20000B82	unsigned short	
[138]	1302	0x20000B84	unsigned short	
[139]	1308	0x20000B86	unsigned short	

[140]	1285	0x20000B88	unsigned short	
[141]	1308	0x20000B8A	unsigned short	
[142]	1291	0x20000B8C	unsigned short	
[143]	1295	0x20000B8E	unsigned short	

[144]	1301	0x20000B90	unsigned short	
[145]	1298	0x20000B92	unsigned short	
[146]	1302	0x20000B94	unsigned short	
[147]	1304	0x20000B96	unsigned short	

[148]	1297	0x20000B98	unsigned short	
[149]	1293	0x20000B9A	unsigned short	
[150]	1314	0x20000B9C	unsigned short	
[151]	1306	0x20000B9E	unsigned short	

[152]	1284	0x20000BA0	unsigned short	
[153]	1284	0x20000BA2	unsigned short	
[154]	1308	0x20000BA4	unsigned short	
[155]	1292	0x20000BA6	unsigned short	

[156]	1303	0x20000BA8	unsigned short	
[157]	1300	0x20000BAA	unsigned short	
[158]	1307	0x20000BAC	unsigned short	
[159]	1291	0x20000BAE	unsigned short	

[160]	1279	0x20000BB0	unsigned short	
[161]	1294	0x20000BB2	unsigned short	
[162]	1300	0x20000BB4	unsigned short	
[163]	1279	0x20000BB6	unsigned short	

[164]	1356	0x20000BB8	unsigned short	
[165]	1339	0x20000BBA	unsigned short	
[166]	1350	0x20000BBC	unsigned short	
[167]	1332	0x20000BBE	unsigned short	

[168]	1357	0x20000BC0	unsigned short	
[169]	1366	0x20000BC2	unsigned short	
[170]	1367	0x20000BC4	unsigned short	
[171]	1365	0x20000BC6	unsigned short	

[172]	1280	0x20000BC8	unsigned short	
[173]	1294	0x20000BCA	unsigned short	
[174]	1293	0x20000BCC	unsigned short	
[175]	1279	0x20000BCE	unsigned short	

[176]	1361	0x20000BD0	unsigned short	
[177]	1375	0x20000BD2	unsigned short	
[178]	1373	0x20000BD4	unsigned short	
[179]	1356	0x20000BD6	unsigned short	

[180]	1348	0x20000BD8	unsigned short	
[181]	1368	0x20000BDA	unsigned short	
[182]	1374	0x20000BDC	unsigned short	
[183]	1330	0x20000BDE	unsigned short	

[184]	1361	0x20000BE0	unsigned short	
[185]	1399	0x20000BE2	unsigned short	
[186]	1391	0x20000BE4	unsigned short	
[187]	1338	0x20000BE6	unsigned short	

[188]	1335	0x20000BE8	unsigned short	
[189]	1366	0x20000BEA	unsigned short	
[190]	1417	0x20000BEC	unsigned short	
[191]	1315	0x20000BEE	unsigned short	

[192]	1468	0x20000BF0	unsigned short	
[193]	1522	0x20000BF2	unsigned short	
[194]	1560	0x20000BF4	unsigned short	
[195]	1439	0x20000BF6	unsigned short	

[196]	1701	0x20000BF8	unsigned short	
